,PitchRight,RollRight,YawRight,WristPosZRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,TimeLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,ElbowposXLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,label,PositionXDiff,PositionYDiff,PositionZDiff,xyzTotal,velxyzTotal
41,0.3600796,-0.52084,-0.4024407,75.93098,52.40858,188.2211,0.0,0.7049171,0.0,10.403700000000017,0.6189406,2.916617,0.5342615,-104.3607,125.9743,-248.3932,0.0,2.740381,0.5095761,Spontaneous,69.42806999999999,19.145700000000005,51.34125,88.44624742733521,89.66525827925315
42,0.3460478,-0.3870255,-0.439288,80.67346,39.94132,192.3748,0.0,0.6012202,0.0,10.48660000000001,0.7339749,3.069883,0.4690234,-102.1907,123.2085,-257.5818,0.0,2.547014,0.6720972,Spontaneous,65.50775999999999,21.5968,55.46003,88.50708060973709,32.07920791228003
43,0.2110815,-0.3817236,-0.4279837,78.91223,49.59478,194.5116,0.0,0.4562328,0.0,10.569299999999998,0.6977561,3.122794,0.5091098,-104.2743,125.72,-247.1995,0.2780037,2.988187,0.5002348,Spontaneous,65.22867,10.420999999999992,52.77265,84.54779251400595,259.04408888621526
44,0.1836959,-0.3366305,-0.3781159,59.10645,68.46132,182.6311,0.0,0.6264553,0.0,10.65220000000005,0.720618,2.596905,0.1517774,-97.26851,120.1959,-239.0258,0.02120641,2.769946,0.5347253,Spontaneous,52.975869999999986,-4.294800000000009,30.703785999999997,61.38086496645917,425.11979807048385
45,0.2673483,-0.3695828,-0.3703443,31.16566,22.87016,189.7941,0.0,0.3901059,0.0,10.735000000000014,1.298415,2.876681,-0.9513794,-84.84769,149.9681,-148.8542,0.1847072,2.171197,0.8708678,Spontaneous,28.241500000000002,-54.5667,17.05891,63.76608410062593,816.472105266643
46,0.3374026,-0.3508915,-0.4058963,12.63149,-30.8976,181.8893,0.0,0.1193807,0.0,10.818200000000047,0.8831607,2.090553,-0.579262,-99.14945,130.3783,-151.3495,0.3362285,2.919177,0.7679793,Spontaneous,25.692899999999995,-31.572399999999988,-38.23026900000001,55.843486817912435,295.7370415326137
47,0.3589528,-0.4059024,-0.3997037,10.2748,-9.396856,175.6107,0.0,0.06828098,0.0,10.900700000000027,0.9761124,1.925743,-0.7292311,-99.90082,139.5267,-158.6447,1.0,3.052304,1.0,Spontaneous,29.915999999999983,-37.2535,-47.687173,67.50449456874652,140.82922702264435
48,0.3025213,-0.6113065,-0.3549865,11.83861,-9.386852,167.125,0.0,0.5116089,0.0,10.98350000000005,1.283079,1.834317,-1.016796,-92.72606,130.3623,-143.4406,0.007175069,1.34729,0.9549631,Spontaneous,46.1379,-33.369,-59.88969,82.6375879712501,217.1362462226666
49,0.1969275,-0.750293,-0.3477044,10.86427,5.712042,174.0357,0.0,0.1790728,0.0,11.067000000000007,1.195839,1.551781,-0.6784146,-90.52419,132.1266,-176.0911,0.0,0.6754674,0.6021531,Spontaneous,57.879949999999994,-41.92949999999999,-56.273551999999995,90.96639069980297,145.89354317155917
50,0.1779577,-0.7557449,-0.3063114,8.975313,29.94584,183.722,0.0,0.1641316,0.0,11.149200000000008,1.045742,1.282387,-0.3699563,-90.37403,132.655,-198.5414,0.0,0.4045164,0.2970442,Spontaneous,64.58766999999999,-42.0599,-50.0524616,91.90131237506009,110.44314591415768
